date,time,batt(v),uvi,med(mins),alt(m),temp(c),temp(f),baro(mb),humd(%),dewpoint(f),heat index(f)
170527,104726,4.0,10.9,13,0.6,29,84,1018,56,66,85
170527,104746,4.0,10.4,7,1.2,29,85,1018,54,66,87
170527,104806,4.0,12.3,10,0.7,30,85,1018,54,67,87
170527,104826,4.0,12.3,4,1.6,30,86,1018,53,66,87
170527,104846,4.0,7.2,8,1.6,30,86,1018,53,66,88
170527,104906,4.0,11.4,7,1.1,30,85,1018,55,67,88
170527,104926,4.0,11.6,5,1.5,30,86,1018,53,67,89
170527,104946,4.0,10.2,5,1.8,30,87,1018,48,65,88
170527,105006,4.0,4.4,10,2,30,85,1018,49,63,86
170527,105026,4.0,12.2,7,1,30,86,1018,51,66,87
170527,105046,4.0,0.8,173,0.6,30,87,1018,52,67,89
170527,105106,4.0,7.6,17,0.7,31,88,1018,50,66,90
170527,105126,4.0,11.3,inf,0,32,90,1018,50,68,93
170527,105146,4.0,11.3,182,0,33,92,1018,47,69,97
170527,105206,4.0,11.4,28,0.3,35,94,1018,43,68,99
170527,105226,4.0,11.4,23,0.3,36,97,1018,40,68,102
170527,105246,4.0,11.4,44,0.2,37,99,1018,38,69,99
170527,105306,4.0,11.4,17,0.5,38,101,1018,37,69,101
170527,105326,4.0,11.5,12,0.7,39,102,1018,35,69,102
170527,105346,4.0,11.5,25,0.3,40,104,1018,34,70,104
170527,105406,4.0,11.5,20,0.4,40,105,1018,33,70,105
170527,105426,4.0,11.5,47,0.2,41,106,1018,32,69,106
170527,105446,4.0,11.5,68,0.1,42,107,1018,31,70,107
170527,105506,4.0,11.5,35,0.2,42,108,1018,32,71,108
170527,105526,4.0,11.5,30,0.3,43,109,1018,29,70,109
170527,105546,4.1,11.5,-129,-0.1,43,110,1018,29,70,110
170527,105606,4.1,11.5,inf,0,44,111,1018,28,70,111
170527,105626,4.0,11.6,inf,0,44,111,1018,28,69,111
170527,105646,4.0,11.6,inf,0,44,112,1018,27,69,112
170527,105705,4.0,11.6,inf,0,45,112,1018,26,69,112
170527,105725,4.0,11.7,inf,0,43,110,1018,26,67,110
170527,105745,4.0,11.5,inf,0,44,111,1018,27,68,111
170527,105805,4.0,11.6,inf,0,44,112,1018,27,70,112
170527,105825,4.0,11.6,inf,0,45,113,1018,27,69,113
170527,105845,4.1,11.6,inf,0,45,113,1018,26,70,113
170527,105905,4.0,11.6,inf,0,45,114,1018,26,70,114
170527,105925,4.0,11.6,inf,0,46,114,1018,25,70,114
170527,105945,4.0,11.7,inf,0,46,115,1018,25,70,115
170527,110005,4.0,11.6,inf,0,46,115,1018,25,70,115
170527,110025,4.0,11.7,inf,0,46,116,1018,25,71,116
170527,110045,4.0,11.7,inf,0,47,116,1018,24,69,116
170527,110104,4.0,11.8,inf,0,47,117,1018,23,70,117
